TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 20:30:41,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205b1a9,fe80::4888:72d0:4f06:d1a1,55639,\\*\SYSVOL
2016-10-06 20:30:56,5140,WIN7_64JP_03$,EXAMPLE,0x205b3fa,192.168.16.103,49480,\\*\IPC$
2016-10-06 20:34:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205ba88,fe80::4888:72d0:4f06:d1a1,55640,\\*\SYSVOL
2016-10-06 20:34:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55641,\\*\IPC$
2016-10-06 20:35:45,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205c0b8,fe80::4888:72d0:4f06:d1a1,55647,\\*\IPC$
2016-10-06 20:35:45,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205c0b8,fe80::4888:72d0:4f06:d1a1,55647,\\*\SYSVOL
2016-10-06 20:36:01,5140,WIN7_64JP_02$,EXAMPLE,0x205c340,192.168.16.102,49605,\\*\IPC$
2016-10-06 20:38:57,5140,WIN7_64JP_01$,EXAMPLE,0x205c790,192.168.16.101,50206,\\*\IPC$
2016-10-06 20:40:49,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205cd4b,fe80::4888:72d0:4f06:d1a1,55655,\\*\SYSVOL
2016-10-06 20:41:28,5140,chiyoda.tokyo,EXAMPLE,0x205cff1,192.168.16.101,50212,\\*\IPC$
2016-10-06 20:41:28,5140,chiyoda.tokyo,EXAMPLE,0x205cff1,192.168.16.101,50212,\\*\SYSVOL
2016-10-06 20:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205d27f,fe80::4888:72d0:4f06:d1a1,55658,\\*\IPC$
2016-10-06 20:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205d27f,fe80::4888:72d0:4f06:d1a1,55658,\\*\SYSVOL
