TimeGenerated,EventID,ServiceName,ChangedFrom,ChangedTo
2021-06-06 17:10:57,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-06 19:12:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-06 19:15:04,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-06 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-06 21:50:27,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 01:56:48,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 01:58:56,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 06:56:48,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 06:58:56,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 10:00:00,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 10:02:22,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 11:56:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 11:58:57,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 16:14:37,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 16:16:42,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 16:59:13,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 17:01:20,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-07 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-07 21:50:28,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-08 02:56:50,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-08 02:59:31,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-08 07:56:51,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-08 07:58:59,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-08 09:17:10,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-08 09:19:11,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-08 16:14:43,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-08 16:20:33,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-08 16:51:36,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-13 10:12:04,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-13 10:55:57,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-13 10:58:10,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-13 14:10:14,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-13 14:14:31,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-01 14:36:09,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-13 15:33:13,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-03 13:36:10,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-03 13:53:09,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-03 14:49:47,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-03 14:53:24,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-03 15:26:53,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-03 15:29:00,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-03 23:36:35,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-03 23:39:25,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 00:49:47,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 00:52:05,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 10:49:48,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 10:52:29,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 13:00:00,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 13:02:26,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 13:36:13,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 13:38:46,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 20:49:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 20:52:01,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-04 21:48:26,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-04 21:50:27,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 00:55:12,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 00:57:32,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 01:00:40,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 01:02:41,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 01:49:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 01:51:57,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 06:49:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 06:51:58,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 11:49:50,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 11:52:03,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 13:08:18,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 13:10:18,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 13:36:46,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 13:38:49,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 15:22:53,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 15:24:56,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-05 16:49:50,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-05 16:51:58,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 01:00:40,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 01:02:41,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 02:49:51,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 02:51:59,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 07:49:51,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 07:52:00,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 12:49:52,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 12:52:00,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 13:36:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 13:38:52,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 16:43:05,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 16:45:09,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-06 17:49:52,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-06 17:52:01,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-15 15:09:29,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-15 15:12:47,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-15 15:16:18,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-15 15:18:18,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-15 15:49:49,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-15 15:53:26,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-15 15:56:23,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-15 16:00:28,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 13:14:24,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 13:24:28,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 13:30:38,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 13:32:38,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 13:33:24,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 13:35:49,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 14:49:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 14:53:32,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 15:09:40,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 15:11:46,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 15:53:38,7040,Windows Modules Installer,demand start,auto start
2021-08-22 15:53:48,7040,Windows Modules Installer,auto start,demand start
2021-08-22 18:30:38,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 18:32:42,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-22 19:49:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-22 19:52:04,7040,Background Intelligent Transfer Service,auto start,demand start
2021-08-25 16:59:59,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-25 17:16:57,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 16:15:53,7040,Background Intelligent Transfer Service,demand start,auto start
2021-08-25 19:18:12,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 16:30:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 16:32:59,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 16:50:51,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 16:52:51,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 18:33:24,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 18:35:48,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 19:13:12,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 19:16:24,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 19:17:18,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 19:19:25,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-01 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-01 21:50:27,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-02 00:13:12,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-02 00:15:37,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-12 08:58:24,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-12 09:04:56,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-12 09:17:01,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-12 09:19:01,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-12 13:04:41,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-12 13:09:31,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-20 10:50:17,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-20 10:55:50,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-20 11:24:25,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-20 11:26:25,7040,Background Intelligent Transfer Service,auto start,demand start
2021-09-20 11:42:11,7040,Background Intelligent Transfer Service,demand start,auto start
2021-09-20 11:46:23,7040,Background Intelligent Transfer Service,auto start,demand start
