TimeGenerated,EventID,ProviderName,Code,ProcessID,ProviderPath
2021-08-25 15:27:50,5857,CIMWin32,0x0,9436,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 15:27:50,5857,CIMWin32a,0x0,9436,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 22:35:22,5857,CIMWin32,0x0,2836,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 23:01:08,5857,CIMWin32,0x0,10764,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 23:01:08,5857,CIMWin32a,0x0,10764,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 11:14:02,5857,CIMWin32,0x0,4396,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 11:14:20,5857,CIMWin32a,0x0,4396,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 11:14:22,5857,SppProvider,0x0,4396,%SystemRoot%\System32\sppwmi.dll
2021-08-26 11:16:35,5857,CIMWin32,0x0,5868,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 11:23:52,5857,CIMWin32,0x0,7528,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 11:29:33,5857,Win32_DeviceGuard,0x0,13820,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 11:41:18,5857,CIMWin32,0x0,9292,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 11:41:18,5857,CIMWin32a,0x0,9292,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 11:56:53,5857,CIMWin32,0x0,13368,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 11:56:53,5857,CIMWin32a,0x0,13368,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 12:04:47,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-26 12:07:38,5857,Win32_DeviceGuard,0x0,10004,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 12:17:05,5857,CIMWin32,0x0,4248,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 12:17:05,5857,CIMWin32a,0x0,4248,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 12:19:16,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-26 12:20:24,5857,Win32_DeviceGuard,0x0,3032,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 12:29:02,5857,CIMWin32,0x0,6132,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 12:29:02,5857,CIMWin32a,0x0,6132,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 12:32:40,5857,WmiPerfClass,0x0,5732,C:\Windows\System32\wbem\WmiPerfClass.dll
2021-08-26 12:32:41,5857,Win32_TpmProvider,0x0,8144,C:\Windows\System32\wbem\Win32_TPM.dll
2021-08-26 12:32:45,5857,Win32_DeviceGuard,0x0,8144,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 12:43:31,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-26 12:46:34,5857,Win32_DeviceGuard,0x0,9716,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 12:55:53,5857,Win32_DeviceGuard,0x0,3496,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-26 12:58:26,5857,CIMWin32,0x0,4152,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 13:22:46,5857,CIMWin32,0x0,6748,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 13:22:47,5857,CIMWin32a,0x0,6748,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 13:38:34,5857,CIMWin32,0x0,8760,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 13:38:34,5857,CIMWin32a,0x0,8760,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 13:56:50,5857,CIMWin32,0x0,9800,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 13:56:50,5857,CIMWin32a,0x0,9800,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 14:16:39,5857,CIMWin32,0x0,10260,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 14:16:39,5857,CIMWin32a,0x0,10260,%systemroot%\system32\wbem\wmipcima.dll
2021-08-26 14:30:46,5857,CIMWin32,0x0,5944,%systemroot%\system32\wbem\cimwin32.dll
2021-08-26 14:30:46,5857,CIMWin32a,0x0,5944,%systemroot%\system32\wbem\wmipcima.dll
