TimeGenerated,EventID,Username,Domain,LogonType,AuthPackage,Workstation,ProcessName,SourceIP
2018-12-07 17:14:31,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-07 17:14:31,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-07 17:14:32,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 17:14:32,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 17:14:32,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 22:14:48,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-07 22:15:23,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 22:15:23,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 17:19:46,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 17:19:46,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 12:59:52,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-09 12:59:52,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-09 12:59:52,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-09 12:59:52,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-09 12:59:52,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-09 17:59:59,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-09 18:01:12,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 18:01:12,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 18:01:20,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-09 18:01:20,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 00:59:34,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-10 00:59:35,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-10 00:59:36,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 00:59:36,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 00:59:36,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 05:59:42,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-10 05:59:59,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 05:59:59,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 06:00:06,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 06:00:06,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 14:12:43,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-10 14:12:43,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 14:12:43,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-10 14:12:44,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 14:12:44,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-10 19:13:03,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-10 19:15:27,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 19:15:27,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 19:15:38,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-10 19:15:38,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-11 21:58:29,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-11 21:58:29,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-11 21:58:29,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-11 21:58:29,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-11 21:58:29,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-11 21:58:43,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-11 22:00:30,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-11 22:00:30,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
