"TimeCreated","LogonUsername","AccountDomain","LogonID","LogonType","AuthPackage","SourceWorkstation","ProcessName","SourceIP","EventID"
"8/1/2018 6:04:52 PM","BASE-RD-01$","SHIELDBASE","1335160230","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 5:13:26 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 4:28:55 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 4:19:52 PM","BASE-RD-01$","SHIELDBASE","1332974597","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 2:34:52 PM","BASE-RD-01$","SHIELDBASE","1330759818","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 2:19:48 PM","BASE-RD-01$","SHIELDBASE","1330419496","3","Kerberos","-","-","-","4624"
"8/1/2018 2:13:25 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 1:13:25 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 12:49:52 PM","BASE-RD-01$","SHIELDBASE","1328562509","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 11:30:16 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 11:04:52 AM","BASE-RD-01$","SHIELDBASE","1326354152","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 9:42:02 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 9:19:52 AM","BASE-RD-01$","SHIELDBASE","1323928701","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 9:13:23 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 8:50:46 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 7:34:52 AM","BASE-RD-01$","SHIELDBASE","1321734212","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 6:19:48 AM","BASE-RD-01$","SHIELDBASE","1320073957","3","Kerberos","-","-","-","4624"
"8/1/2018 5:49:53 AM","BASE-RD-01$","SHIELDBASE","1319474160","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 5:13:22 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 4:04:52 AM","BASE-RD-01$","SHIELDBASE","1317130780","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 3:53:05 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 2:19:52 AM","BASE-RD-01$","SHIELDBASE","1314850865","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 2:00:39 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 1:13:21 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 12:34:52 AM","BASE-RD-01$","SHIELDBASE","1312619765","3","Kerberos","-","-","127.0.0.1","4624"
"7/31/2018 11:14:47 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"7/31/2018 10:49:51 PM","BASE-RD-01$","SHIELDBASE","1310382369","3","Kerberos","-","-","127.0.0.1","4624"
"7/31/2018 10:19:48 PM","BASE-RD-01$","SHIELDBASE","1309776309","3","Kerberos","-","-","-","4624"
"7/31/2018 9:13:20 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"7/31/2018 9:04:52 PM","BASE-RD-01$","SHIELDBASE","1307969433","3","Kerberos","-","-","127.0.0.1","4624"
"7/31/2018 8:56:05 PM","tdungan","shieldbase","1307178199","7","Negotiate","BASE-RD-01","C:\Windows\System32\lsass.exe","-","4624"
"7/31/2018 8:56:05 PM","tdungan","shieldbase","1307177728","7","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","192.168.30.10","4624"
"7/31/2018 8:56:01 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"7/31/2018 8:55:54 PM","tdungan","shieldbase","1307153535","3","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","-","4624"
"7/31/2018 8:25:37 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"7/31/2018 7:19:52 PM","BASE-RD-01$","SHIELDBASE","1305291442","3","Kerberos","-","-","127.0.0.1","4624"
"7/31/2018 5:34:51 PM","BASE-RD-01$","SHIELDBASE","1303242288","3","Kerberos","-","-","127.0.0.1","4624"
"7/31/2018 5:13:18 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"7/31/2018 4:05:08 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
